12471042,48715,BANKNIFTY2341338300PE,"BANKNIFTY",0,2023-04-13,38300,0.05,25,PE,NFO-OPT,NFO
12471298,48716,BANKNIFTY2341338400CE,"BANKNIFTY",0,2023-04-13,38400,0.05,25,CE,NFO-OPT,NFO
12471554,48717,BANKNIFTY2341338400PE,"BANKNIFTY",0,2023-04-13,38400,0.05,25,PE,NFO-OPT,NFO
12472834,48722,BANKNIFTY2341338500CE,"BANKNIFTY",0,2023-04-13,38500,0.05,25,CE,NFO-OPT,NFO
12473858,48726,BANKNIFTY2341338500PE,"BANKNIFTY",0,2023-04-13,38500,0.05,25,PE,NFO-OPT,NFO
12474370,48728,BANKNIFTY2341338600CE,"BANKNIFTY",0,2023-04-13,38600,0.05,25,CE,NFO-OPT,NFO
12475138,48731,BANKNIFTY2341338600PE,"BANKNIFTY",0,2023-04-13,38600,0.05,25,PE,NFO-OPT,NFO
12475394,48732,BANKNIFTY2341338700CE,"BANKNIFTY",0,2023-04-13,38700,0.05,25,CE,NFO-OPT,NFO
12475650,48733,BANKNIFTY2341338700PE,"BANKNIFTY",0,2023-04-13,38700,0.05,25,PE,NFO-OPT,NFO
12476418,48736,BANKNIFTY2341338800CE,"BANKNIFTY",0,2023-04-13,38800,0.05,25,CE,NFO-OPT,NFO
12476674,48737,BANKNIFTY2341338800PE,"BANKNIFTY",0,2023-04-13,38800,0.05,25,PE,NFO-OPT,NFO
12477186,48739,BANKNIFTY2341338900CE,"BANKNIFTY",0,2023-04-13,38900,0.05,25,CE,NFO-OPT,NFO
12477954,48742,BANKNIFTY2341338900PE,"BANKNIFTY",0,2023-04-13,38900,0.05,25,PE,NFO-OPT,NFO
12478210,48743,BANKNIFTY2341339000CE,"BANKNIFTY",0,2023-04-13,39000,0.05,25,CE,NFO-OPT,NFO
12478466,48744,BANKNIFTY2341339000PE,"BANKNIFTY",0,2023-04-13,39000,0.05,25,PE,NFO-OPT,NFO
12478722,48745,BANKNIFTY2341339100CE,"BANKNIFTY",0,2023-04-13,39100,0.05,25,CE,NFO-OPT,NFO
12480002,48750,BANKNIFTY2341339100PE,"BANKNIFTY",0,2023-04-13,39100,0.05,25,PE,NFO-OPT,NFO
12480258,48751,BANKNIFTY2341339200CE,"BANKNIFTY",0,2023-04-13,39200,0.05,25,CE,NFO-OPT,NFO
12480514,48752,BANKNIFTY2341339200PE,"BANKNIFTY",0,2023-04-13,39200,0.05,25,PE,NFO-OPT,NFO
12480770,48753,BANKNIFTY2341339300CE,"BANKNIFTY",0,2023-04-13,39300,0.05,25,CE,NFO-OPT,NFO
12481538,48756,BANKNIFTY2341339300PE,"BANKNIFTY",0,2023-04-13,39300,0.05,25,PE,NFO-OPT,NFO
12481794,48757,BANKNIFTY2341339400CE,"BANKNIFTY",0,2023-04-13,39400,0.05,25,CE,NFO-OPT,NFO
12482050,48758,BANKNIFTY2341339400PE,"BANKNIFTY",0,2023-04-13,39400,0.05,25,PE,NFO-OPT,NFO
